Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2005-06-09-022-XXII-NRSITZ-00114	ParlaMint-AT_2005-06-09-022-XXII-NRSITZ-00114_d7e395	Sitting Number 114, Legislative period XXII, Thursday, 9. June 2005	2005-06-09	Lower house	Legislative period XXII	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2005-06-09-022-XXII-NRSITZ-00114	ParlaMint-AT_2005-06-09-022-XXII-NRSITZ-00114_d7e426	Sitting Number 114, Legislative period XXII, Thursday, 9. June 2005	2005-06-09	Lower house	Legislative period XXII	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2005-06-09-022-XXII-NRSITZ-00114	ParlaMint-AT_2005-06-09-022-XXII-NRSITZ-00114_d7e664	Sitting Number 114, Legislative period XXII, Thursday, 9. June 2005	2005-06-09	Lower house	Legislative period XXII	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
