Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2005-01-26-022-XXII-NRSITZ-00094	ParlaMint-AT_2005-01-26-022-XXII-NRSITZ-00094_d7e343	Sitting Number 94, Legislative period XXII, Wednesday, 26. January 2005	2005-01-26	Lower house	Legislative period XXII	-	-	Sitting 94	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2005-01-26-022-XXII-NRSITZ-00094	ParlaMint-AT_2005-01-26-022-XXII-NRSITZ-00094_d7e371	Sitting Number 94, Legislative period XXII, Wednesday, 26. January 2005	2005-01-26	Lower house	Legislative period XXII	-	-	Sitting 94	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2005-01-26-022-XXII-NRSITZ-00094	ParlaMint-AT_2005-01-26-022-XXII-NRSITZ-00094_d7e655	Sitting Number 94, Legislative period XXII, Wednesday, 26. January 2005	2005-01-26	Lower house	Legislative period XXII	-	-	Sitting 94	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
