Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2005-05-12-022-XXII-NRSITZ-00111	ParlaMint-AT_2005-05-12-022-XXII-NRSITZ-00111_d7e330	Sitting Number 111, Legislative period XXII, Thursday, 12. May 2005	2005-05-12	Lower house	Legislative period XXII	-	-	Sitting 111	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-05-12-022-XXII-NRSITZ-00111	ParlaMint-AT_2005-05-12-022-XXII-NRSITZ-00111_d7e361	Sitting Number 111, Legislative period XXII, Thursday, 12. May 2005	2005-05-12	Lower house	Legislative period XXII	-	-	Sitting 111	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-05-12-022-XXII-NRSITZ-00111	ParlaMint-AT_2005-05-12-022-XXII-NRSITZ-00111_d7e669	Sitting Number 111, Legislative period XXII, Thursday, 12. May 2005	2005-05-12	Lower house	Legislative period XXII	-	-	Sitting 111	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
