Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e480	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e511	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e830	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e868	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e903	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e933	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_01902	Stoisits, Terezija	F	1958	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1079	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1100	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_01902	Stoisits, Terezija	F	1958	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1389	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1414	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01226	Molterer, Wilhelm	M	1955	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1515	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1537	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_00178	Cap, Josef	M	1952	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1676	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1697	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_01158	Partik-Pablé, Helene	F	1939	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1814	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1835	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_08239	Brosz, Dieter	M	1968	
ParlaMint-AT-en_2005-11-16-022-XXII-NRSITZ-00128	ParlaMint-AT_2005-11-16-022-XXII-NRSITZ-00128_d7e1891	Sitting Number 128, Legislative period XXII, Wednesday, 16. November 2005	2005-11-16	Lower house	Legislative period XXII	-	-	Sitting 128	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
