Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	-	Centre to centre-right	KarlaSlechtova.1977	Šlechtová, Karla	F	1977	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	AdamKalous.1979	Kalous, Adam	M	1979	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	-	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u9	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	-	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u10	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u11	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Regular	MP	notMinister	TOP09	Political group TOP 09	-	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u12	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u13	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	-	Centre to centre-right	KarlaSlechtova.1977	Šlechtová, Karla	F	1977	
ParlaMint-CZ-en_2017-12-12-ps2017-004-01-017-002	ParlaMint-CZ_2017-12-12-ps2017-004-01-017-002.u14	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-12	2017-12-12	Lower house	ps2017	-	ps2017/004	ps2017/004/01	ps2017/004/002	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	-	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
