Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvanPilny.1944	Pilný, Ivan	M	1944	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	VladislavVilimec.1963	Vilímec, Vladislav	M	1963	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvanPilny.1944	Pilný, Ivan	M	1944	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	LudvikHovorka.1963	Hovorka, Ludvík	M	1963	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u9	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u10	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	PetrKorenek.1966	Kořenek, Petr	M	1966	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-008-097	ParlaMint-CZ_2017-07-14-ps2013-059-08-008-097.u11	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/097	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
