Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	VladislavVilimec.1963	Vilímec, Vladislav	M	1963	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JeronymTejc.1977	Tejc, Jeroným	M	1977	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	VladislavVilimec.1963	Vilímec, Vladislav	M	1963	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u9	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u10	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JiriJunek.1973	Junek, Jiří	M	1973	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-006-051	ParlaMint-CZ_2017-05-26-ps2013-057-08-006-051.u11	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/051	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
