Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	VitKankovsky.1970	Kaňkovský, Vít	M	1970	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	SonaMarkova.1963	Marková, Soňa	F	1963	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MilanBrazdil.1962	Brázdil, Milan	M	1962	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JanaPastuchova.1965	Pastuchová, Jana	F	1965	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u9	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u10	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	VitKankovsky.1970	Kaňkovský, Vít	M	1970	
ParlaMint-CZ-en_2017-07-13-ps2013-059-07-015-032	ParlaMint-CZ_2017-07-13-ps2013-059-07-015-032.u11	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-13	2017-07-13	Lower house	ps2013	-	ps2013/059	ps2013/059/07	ps2013/059/032	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
