Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Regular	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	LubomirZaoralek.1956	Zaorálek, Lubomír	M	1956	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u9	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u10	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2017-07-11-ps2013-059-05-002-055	ParlaMint-CZ_2017-07-11-ps2013-059-05-002-055.u11	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-11	2017-07-11	Lower house	ps2013	-	ps2013/059	ps2013/059/05	ps2013/059/055	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
