Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-10-01	ParlaMint-NO_2013-10-01.ana.ud112e2364	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-01	2013-10-01	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-01	ParlaMint-NO_2013-10-01.ana.ud112e2374	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-01	2013-10-01	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-01	ParlaMint-NO_2013-10-01.ana.ud112e2405	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-01	2013-10-01	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-01	ParlaMint-NO_2013-10-01.ana.ud112e2495	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-01	2013-10-01	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-01	ParlaMint-NO_2013-10-01.ana.ud112e2515	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-01	2013-10-01	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
