Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e36	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e60	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.ANA	Anundsen, Anders	M	1975	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e123	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e176	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e202	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.POL	Lundteigen, Per Olaf	M	1953	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e232	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.SJ	Johnsen, Sigbjørn	M	1950	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e245	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e254	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.IMT	Thorkildsen, Inga Marte	F	1976	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e271	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e285	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e299	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e305	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e336	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-10	ParlaMint-NO_2013-01-10.ana.ud2318e350	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-10	2013-01-10	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
