Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-10-07	ParlaMint-NO_2013-10-07.ana.ud533e24	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-07	2013-10-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-07	ParlaMint-NO_2013-10-07.ana.ud533e62	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-07	2013-10-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-07	ParlaMint-NO_2013-10-07.ana.ud533e90	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-07	2013-10-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-10-07	ParlaMint-NO_2013-10-07.ana.ud533e139	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-07	2013-10-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-10-07	ParlaMint-NO_2013-10-07.ana.ud533e164	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-10-07	2013-10-07	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-10-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
