Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e78	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e121	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e126	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.KJR	Ropstad, Kjell Ingolf	M	1985	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e131	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e145	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e148	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	Coalition	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e153	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e169	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e178	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e196	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e210	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e224	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e238	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e252	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e266	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e280	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e294	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e301	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e835	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2013-11-12	ParlaMint-NO_2013-11-12.ana.ud1964e1104	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-12	2013-11-12	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
