Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-11-21	ParlaMint-NO_2013-11-21.ana.ud179e22	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-21	2013-11-21	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-21	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2013-11-21	ParlaMint-NO_2013-11-21.ana.ud179e42	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-21	2013-11-21	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-21	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.TKF	Fylkesnes, Torgeir Knag	M	1975	
ParlaMint-NO-en_2013-11-21	ParlaMint-NO_2013-11-21.ana.ud179e47	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-21	2013-11-21	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-21	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2013-11-21	ParlaMint-NO_2013-11-21.ana.ud179e59	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-21	2013-11-21	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-21	-	Reference	English	Regular	notMP	notMinister	H	Høyre	Coalition	Centre-right	person.VIHE	Helgesen, Vidar	M	1968	
ParlaMint-NO-en_2013-11-21	ParlaMint-NO_2013-11-21.ana.ud179e191	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-21	2013-11-21	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-21	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2013-11-21	ParlaMint-NO_2013-11-21.ana.ud179e257	Hansard from meeting in the Norwegian Parliament, term 2013-2017, Session 2013-2014, Sitting day 2013-11-21	2013-11-21	Unicameralism	Term 2013-2017	Session 2013-2014	-	Sitting day 2013-11-21	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
