Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e26	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e73	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e108	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e124	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e154	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e189	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e202	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e213	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.IHE	Heggø, Ingrid	F	1961	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e233	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e255	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.FBJ	Bakke-Jensen, Frank	M	1965	
ParlaMint-NO-en_2013-01-08	ParlaMint-NO_2013-01-08.ana.ud2136e293	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-01-08	2013-01-08	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-01-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.ALEH	Holmelid, Alf Egil	M	1947	
