Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2003-12-01-0	ParlaMint-BA_2003-12-01-0.u10585	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 25	2003-12-01	Unicameralism	4. mandat	-	Sjednica 25	2004-06-29	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2003-12-01-0	ParlaMint-BA_2003-12-01-0.u10586	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 25	2003-12-01	Unicameralism	4. mandat	-	Sjednica 25	2004-06-29	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2003-12-01-0	ParlaMint-BA_2003-12-01-0.u10587	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 25	2003-12-01	Unicameralism	4. mandat	-	Sjednica 25	2004-06-29	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2003-12-01-0	ParlaMint-BA_2003-12-01-0.u10588	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 25	2003-12-01	Unicameralism	4. mandat	-	Sjednica 25	2004-06-29	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	NovakovićMomčilo	Novaković, Momčilo	M	1955	
ParlaMint-BA-en_2003-12-01-0	ParlaMint-BA_2003-12-01-0.u10589	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 25	2003-12-01	Unicameralism	4. mandat	-	Sjednica 25	2004-06-29	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
