Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89582	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89583	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	KatićŽarko	Katić, Žarko	U	-	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89584	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89585	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	PetrijevčaninVuksanovićIrena	Petrijevčanin Vuksanović, Irena	F	1978	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89586	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89587	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89588	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89589	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŠiljegMario	Šiljeg, Mario	U	-	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89590	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89591	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2018-06-29-0	ParlaMint-HR_2018-06-29-0.u89592	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 8	2018-06-29	Unicameralism	9. mandat	-	Zasedanje 8	2018-07-12	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
