Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-02-18-ps2021-011-01-001-001	ParlaMint-CZ_2022-02-18-ps2021-011-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/011	ps2021/011/01	ps2021/011/001	COVID	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-02-18-ps2021-011-01-001-001	ParlaMint-CZ_2022-02-18-ps2021-011-01-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/011	ps2021/011/01	ps2021/011/001	COVID	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	JosefBernard.1965	Bernard, Josef	M	1965	
ParlaMint-CZ-en_2022-02-18-ps2021-011-01-001-001	ParlaMint-CZ_2022-02-18-ps2021-011-01-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/011	ps2021/011/01	ps2021/011/001	COVID	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-02-18-ps2021-011-01-001-001	ParlaMint-CZ_2022-02-18-ps2021-011-01-001-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/011	ps2021/011/01	ps2021/011/001	COVID	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	JosefBernard.1965	Bernard, Josef	M	1965	
ParlaMint-CZ-en_2022-02-18-ps2021-011-01-001-001	ParlaMint-CZ_2022-02-18-ps2021-011-01-001-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-18	2022-02-18	Lower house	ps2021	-	ps2021/011	ps2021/011/01	ps2021/011/001	COVID	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
