Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-05-13-ps2021-019-08-002-076	ParlaMint-CZ_2022-05-13-ps2021-019-08-002-076.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-13	2022-05-13	Lower house	ps2021	-	ps2021/019	ps2021/019/08	ps2021/019/076	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
