Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	JosefFlek.1988	Flek, Josef	M	1988	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadovanVich.1964	Vích, Radovan	M	1964	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-001-164	ParlaMint-CZ_2022-09-07-ps2021-035-02-001-164.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/164	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JiriHorak.1984	Horák, Jiří	M	1984	
