Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-06-03-ps2021-025-04-012-110	ParlaMint-CZ_2022-06-03-ps2021-025-04-012-110.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-03	2022-06-03	Lower house	ps2021	-	ps2021/025	ps2021/025/04	ps2021/025/110	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
