Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-10-14-ps2021-041-04-004-100	ParlaMint-CZ_2022-10-14-ps2021-041-04-004-100.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-10-14	2022-10-14	Lower house	ps2021	-	ps2021/041	ps2021/041/04	ps2021/041/100	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
