Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Guest	MP	Minister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VitRakusan.1978	Rakušan, Vít	M	1978	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2022-07-12-ps2021-031-02-002-010	ParlaMint-CZ_2022-07-12-ps2021-031-02-002-010.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-12	2022-07-12	Lower house	ps2021	-	ps2021/031	ps2021/031/02	ps2021/031/010	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
