Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinBaxa.1975	Baxa, Martin	M	1975	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	JanLacina.1970	Lacina, Jan	M	1970	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	ZdenekKettner.1974	Kettner, Zdeněk	M	1974	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinBaxa.1975	Baxa, Martin	M	1975	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-007-007	ParlaMint-CZ_2022-03-10-ps2021-014-01-007-007.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/007	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
