Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Regular	notMP	Minister	-	-	-	-	JanLipavsky.1985	Lipavský, Jan	M	1985	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Regular	notMP	Minister	-	-	-	-	JanLipavsky.1985	Lipavský, Jan	M	1985	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-07-07-ps2021-031-01-002-002	ParlaMint-CZ_2022-07-07-ps2021-031-01-002-002.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-07-07	2022-07-07	Lower house	ps2021	-	ps2021/031	ps2021/031/01	ps2021/031/002	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
