Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Regular	notMP	Minister	-	-	-	-	ZdenekNekula.1970	Nekula, Zdeněk	M	1970	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PetrBendl.1966	Bendl, Petr	M	1966	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JaroslavFaltynek.1962	Faltýnek, Jaroslav	M	1962	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	KarelSmetana.1988	Smetana, Karel	M	1988	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	OldrichCerny.1965	Černý, Oldřich	M	1965	
ParlaMint-CZ-en_2022-09-06-ps2021-035-01-006-007	ParlaMint-CZ_2022-09-06-ps2021-035-01-006-007.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-06	2022-09-06	Lower house	ps2021	-	ps2021/035	ps2021/035/01	ps2021/035/007	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
