Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Regular	notMP	Minister	-	-	-	-	JanLipavsky.1985	Lipavský, Jan	M	1985	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Guest	MP	Minister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VitRakusan.1978	Rakušan, Vít	M	1978	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2022-02-24-ps2021-013-01-001-001	ParlaMint-CZ_2022-02-24-ps2021-013-01-001-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-02-24	2022-02-24	Lower house	ps2021	-	ps2021/013	ps2021/013/01	ps2021/013/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
