Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PavelBlazek.1969	Blažek, Pavel	M	1969	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	VladimiraLesenska.1964	Lesenská, Vladimíra	F	1964	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2022-06-01-ps2021-025-02-004-032	ParlaMint-CZ_2022-06-01-ps2021-025-02-004-032.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-01	2022-06-01	Lower house	ps2021	-	ps2021/025	ps2021/025/02	ps2021/025/032	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
