Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u18	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u19	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u20	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-11-16-ps2021-045-02-000-000	ParlaMint-CZ_2022-11-16-ps2021-045-02-000-000.u21	Parliament of the Czech Republic, Chamber of Deputies, 2022-11-16	2022-11-16	Lower house	ps2021	-	ps2021/045	ps2021/045/02	ps2021/045/000	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
