Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-15-ps2021-000-01-000-999	ParlaMint-CZ_2022-06-15-ps2021-000-01-000-999.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/000	ps2021/000/01	ps2021/000/999	COVID,War	English	Guest	MP	notMinister	-	-	-	-	MilosVystrcil.1960	Vystrčil, Miloš	M	1960	
ParlaMint-CZ-en_2022-06-15-ps2021-000-01-000-999	ParlaMint-CZ_2022-06-15-ps2021-000-01-000-999.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/000	ps2021/000/01	ps2021/000/999	COVID,War	English	Guest	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-000-01-000-999	ParlaMint-CZ_2022-06-15-ps2021-000-01-000-999.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/000	ps2021/000/01	ps2021/000/999	COVID,War	English	Guest	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2022-06-15-ps2021-000-01-000-999	ParlaMint-CZ_2022-06-15-ps2021-000-01-000-999.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/000	ps2021/000/01	ps2021/000/999	COVID,War	English	Guest	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-000-01-000-999	ParlaMint-CZ_2022-06-15-ps2021-000-01-000-999.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/000	ps2021/000/01	ps2021/000/999	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	VolodymyrZelenskyj	Zelenskyj, Volodymyr	U	-	
ParlaMint-CZ-en_2022-06-15-ps2021-000-01-000-999	ParlaMint-CZ_2022-06-15-ps2021-000-01-000-999.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/000	ps2021/000/01	ps2021/000/999	COVID,War	English	Guest	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
