Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Guest	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Guest	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RobertKralicek.1977	Králíček, Robert	M	1977	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MichalKucera.1968	Kučera, Michal	M	1968	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadekKoten.1965	Koten, Radek	M	1965	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-002-026	ParlaMint-CZ_2022-06-17-ps2021-025-08-002-026.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/026	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
