Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JaroslavFaltynek.1962	Faltýnek, Jaroslav	M	1962	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-05-12-ps2021-023-01-000-000	ParlaMint-CZ_2022-05-12-ps2021-023-01-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-12	2022-05-12	Lower house	ps2021	-	ps2021/023	ps2021/023/01	ps2021/023/000	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
