Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	PavelBlazek.1969	Blažek, Pavel	M	1969	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	JakubMichalek.1989	Michálek, Jakub	M	1989	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	TatanaMala.1981	Malá, Taťána	F	1981	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	TatanaMala.1981	Malá, Taťána	F	1981	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-011-003	ParlaMint-CZ_2022-09-08-ps2021-035-03-011-003.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/003	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
