Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Regular	notMP	Minister	-	-	-	-	ZdenekNekula.1970	Nekula, Zdeněk	M	1970	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	TomasDubsky.1973	Dubský, Tomáš	M	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelTurecek.1971	Tureček, Karel	M	1971	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Regular	notMP	Minister	-	-	-	-	ZdenekNekula.1970	Nekula, Zdeněk	M	1970	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	TomasDubsky.1973	Dubský, Tomáš	M	1973	
ParlaMint-CZ-en_2022-03-10-ps2021-014-01-006-006	ParlaMint-CZ_2022-03-10-ps2021-014-01-006-006.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-10	2022-03-10	Lower house	ps2021	-	ps2021/014	ps2021/014/01	ps2021/014/006	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
