Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Regular	notMP	Minister	-	-	-	-	MichalSalomoun.1974	Šalomoun, Michal	M	1974	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarekZenisek.1978	Ženíšek, Marek	M	1978	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2022-09-27-ps2021-035-05-006-022	ParlaMint-CZ_2022-09-27-ps2021-035-05-006-022.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-27	2022-09-27	Lower house	ps2021	-	ps2021/035	ps2021/035/05	ps2021/035/022	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
