Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Regular	notMP	Minister	-	-	-	-	JanLipavsky.1985	Lipavský, Jan	M	1985	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	ViktorVojtko.1978	Vojtko, Viktor	M	1978	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JaroslavBzoch.1983	Bžoch, Jaroslav	M	1983	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u18	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u19	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-001-120	ParlaMint-CZ_2022-04-05-ps2021-016-05-001-120.u20	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/120	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
