Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Regular	MP	Minister	-	-	-	-	AnnaHubackova.1957	Hubáčková, Anna	F	1957	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	DavidPrazak.1979	Pražák, David	M	1979	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	KarlaMarikova.1981	Maříková, Karla	F	1981	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	KarlaMarikova.1981	Maříková, Karla	F	1981	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	VladimirZlinsky.1964	Zlínský, Vladimír	M	1964	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2022-03-23-ps2021-016-02-003-001	ParlaMint-CZ_2022-03-23-ps2021-016-02-003-001.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-03-23	2022-03-23	Lower house	ps2021	-	ps2021/016	ps2021/016/02	ps2021/016/001	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaMrackovaVildumetzova.1973	Mračková Vildumetzová, Jana	F	1973	
