Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinBaxa.1975	Baxa, Martin	M	1975	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2022-06-02-ps2021-025-03-006-017	ParlaMint-CZ_2022-06-02-ps2021-025-03-006-017.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-02	2022-06-02	Lower house	ps2021	-	ps2021/025	ps2021/025/03	ps2021/025/017	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
