Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-04-13-upper	ParlaMint-NO_1999-04-13-upper.ana.ud2163e56	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-13	1999-04-13	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-13	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_1999-04-13-upper	ParlaMint-NO_1999-04-13-upper.ana.ud2163e61	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-13	1999-04-13	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-13	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-04-13-upper	ParlaMint-NO_1999-04-13-upper.ana.ud2163e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-13	1999-04-13	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-13	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TEJ	Johansen, Terje	M	1941	
ParlaMint-NO-en_1999-04-13-upper	ParlaMint-NO_1999-04-13-upper.ana.ud2163e71	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-13	1999-04-13	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-13	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-13-upper	ParlaMint-NO_1999-04-13-upper.ana.ud2163e85	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-13	1999-04-13	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-13	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
