Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e88	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e102	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e116	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e130	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e155	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e165	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e177	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e191	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e205	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e220	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e223	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e282	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-04-27-upper	ParlaMint-NO_1999-04-27-upper.ana.ud2150e303	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
