Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e23	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e26	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e31	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e43	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e46	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e65	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e75	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e81	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e116	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e140	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e449	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-02-11-lower	ParlaMint-NO_1999-02-11-lower.ana.ud584e456	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
