Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e25	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e51	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e106	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e109	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JH	Holte, Jørgen	M	1944	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e114	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e124	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.HFJ	Johnson, Hilde Frafjord	F	1963	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e426	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e432	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-01-21	ParlaMint-NO_1999-01-21.ana.ud899e442	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-01-21	1999-01-21	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-01-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
