Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-05-04-upper	ParlaMint-NO_1999-05-04-upper.ana.ud1135e25	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-04	1999-05-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_1999-05-04-upper	ParlaMint-NO_1999-05-04-upper.ana.ud1135e35	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-04	1999-05-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_1999-05-04-upper	ParlaMint-NO_1999-05-04-upper.ana.ud1135e48	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-04	1999-05-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
