Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e91	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e103	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e106	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e122	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e139	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e151	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e165	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e193	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e207	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e221	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e235	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e255	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_1999-11-04-upper	ParlaMint-NO_1999-11-04-upper.ana.ud836e265	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-04	1999-11-04	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-04	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
