Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e31	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e38	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.HMS	Solberg, Hill-Marta	F	1951	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e43	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e60	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e63	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KBO	Bekkemellem, Karita	F	1965	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e102	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e105	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MHG	Grimstad, May-Helen Molvær	F	1968	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e122	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.UAA	Aarrestad, Unn	F	1938	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e145	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GGF	Fossum, Grethe G.	F	1945	
ParlaMint-NO-en_1999-04-20-lower	ParlaMint-NO_1999-04-20-lower.ana.ud1588e166	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-20	1999-04-20	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
