Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e57	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e60	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e65	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e80	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e94	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e108	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e116	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e122	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-11-18	ParlaMint-NO_1999-11-18.ana.ud286e287	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-11-18	1999-11-18	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-11-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
