Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u1	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u2	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u3	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	SoledadBecerrilBustamante	Becerril Bustamante, Soledad	F	1944	
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u4	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u5	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Regular	MP	notMinister	BNG	Bloque Nacionalista Galego	Opposition	Left	RosanaPérezFernández	Pérez Fernández, Rosana	F	1964	
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u6	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u7	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Regular	MP	notMinister	BNG	Bloque Nacionalista Galego	Opposition	Left	RosanaPérezFernández	Pérez Fernández, Rosana	F	1964	
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u8	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u9	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Regular	MP	notMinister	ERC-RI.cat	Esquerra Republicana de Catalunya - Reagrupament Independentista	Opposition	Centre-left to left	JoanTardàiComa	Tardà i Coma, Joan	M	1953	
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u10	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u11	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Regular	MP	notMinister	ERC-RI.cat	Esquerra Republicana de Catalunya - Reagrupament Independentista	Opposition	Centre-left to left	JoanTardàiComa	Tardà i Coma, Joan	M	1953	
ParlaMint-ES-en_2015-03-26-CD150326	ParlaMint-ES_2015-03-26-CD150326.u12	Plenary session 252 (2015-03-26)	2015-03-26	Lower house	Legislatura X	Sesión plenaria núm. 252	-	2015-03-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
