Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u1	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u2	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	PedroMaríaAzpiazuUriarte	Azpiazu Uriarte, Pedro María	M	1957	
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u3	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u4	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Regular	MP	Minister	PP	Partido Popular	Coalition	Centre-right to right	CristóbalRicardoMontoroRomero	Montoro Romero, Cristóbal Ricardo	M	1950	
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u5	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u6	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	PedroMaríaAzpiazuUriarte	Azpiazu Uriarte, Pedro María	M	1957	
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u7	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u8	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Regular	MP	Minister	PP	Partido Popular	Coalition	Centre-right to right	CristóbalRicardoMontoroRomero	Montoro Romero, Cristóbal Ricardo	M	1950	
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u9	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u10	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Regular	MP	notMinister	Amaiur	Amaiur	Opposition	Left	RafaelLarreinaValderrama	Larreina Valderrama, Rafael	M	1956	
ParlaMint-ES-en_2015-08-26-CD150826	ParlaMint-ES_2015-08-26-CD150826.u11	Plenary session 283 (2015-08-26)	2015-08-26	Lower house	Legislatura X	Sesión plenaria núm. 283 extraordinaria extraordinaria	-	2015-08-26	-	Reference	English	Chairperson	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	CeliaVillalobosTalero	Villalobos Talero, Celia	F	1949	
