Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u1	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u2	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	GB	Geroa Bai	Opposition	Centre-left	BicenteSerranoIzko	Serrano Izko, Bicente	M	1948	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u3	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u4	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	UPN	Unión del Pueblo Navarro	Opposition	Centre-right to right	CarlosCasimiroSalvadorArmendáriz	Salvador Armendáriz, Carlos Casimiro	M	1966	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u5	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u6	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u7	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	Compromís-Q	Comprommís-Q	Opposition	-	JoanBaldovíRoda	Baldoví Roda, Joan	M	1958	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u8	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u9	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	CC-NC-PNC	Coalición Canaria-Nueva Canaria-Partido Nacionalista Canario	Opposition	Centre to centre-right	AnaMaríaOramasGonzálezMoro	Oramas González-Moro, Ana María	F	1955	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u10	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u11	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	BNG	Bloque Nacionalista Galego	Opposition	Left	MaríaOlaiaFernándezDavila	Fernández Davila, María Olaia	F	1954	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u12	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u13	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	ERC-RI.cat	Esquerra Republicana de Catalunya - Reagrupament Independentista	Opposition	Centre-left to left	JoanTardàiComa	Tardà i Coma, Joan	M	1953	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u14	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u15	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	Amaiur	Amaiur	Opposition	Left	SabinoCuadraLasarte	Cuadra Lasarte, Sabino	M	1949	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u16	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u17	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	Amaiur	Amaiur	Opposition	Left	SabinoCuadraLasarte	Cuadra Lasarte, Sabino	M	1949	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u18	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u19	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	Amaiur	Amaiur	Opposition	Left	SabinoCuadraLasarte	Cuadra Lasarte, Sabino	M	1949	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u20	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u21	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	Amaiur	Amaiur	Opposition	Left	SabinoCuadraLasarte	Cuadra Lasarte, Sabino	M	1949	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u22	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u23	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	Amaiur	Amaiur	Opposition	Left	SabinoCuadraLasarte	Cuadra Lasarte, Sabino	M	1949	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u24	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u25	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	AitorEstebanBravo	Esteban Bravo, Aitor	M	1962	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u26	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u27	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	AitorEstebanBravo	Esteban Bravo, Aitor	M	1962	
ParlaMint-ES-en_2015-10-01-CD151001	ParlaMint-ES_2015-10-01-CD151001.u28	Plenary session 289 (2015-10-01)	2015-10-01	Lower house	Legislatura X	Sesión plenaria núm. 289	-	2015-10-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
