Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u1	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u2	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	JoséManuelGarcíaMargalloyMarfil	García-Margallo y Marfil, José Manuel	M	-	
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u3	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u4	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Regular	MP	notMinister	IZQ-PLU	Izquierda Plural	Opposition	Left	JoséLuisCentellaGómez	Centella Gómez, José Luis	M	1958	
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u5	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u6	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	AitorEstebanBravo	Esteban Bravo, Aitor	M	1962	
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u7	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u8	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Regular	MP	notMinister	UPyD	Unión Progreso y Democracia	Opposition	Centre to centre-left	IreneLozanoDomingo	Lozano Domingo, Irene	F	1971	
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u9	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u10	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Regular	MP	notMinister	CiU	Convergència i Unió	Opposition	Centre to centre-right	JordiXuclàiCosta	Xuclà i Costa, Jordi	M	1973	
ParlaMint-ES-en_2015-07-16-CD150716	ParlaMint-ES_2015-07-16-CD150716.u11	Plenary session 280 (2015-07-16)	2015-07-16	Lower house	Legislatura X	Sesión plenaria núm. 280 extraordinaria extraordinaria	-	2015-07-16	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
