Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u1	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u2	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	MarianoRajoyBrey	Rajoy Brey, Mariano	M	1955	
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u3	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u4	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u5	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u6	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Regular	MP	notMinister	CiU	Convergència i Unió	Opposition	Centre to centre-right	PereMaciasiArau	Macias i Arau, Pere	M	1956	
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u7	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u8	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Regular	MP	notMinister	CiU	Convergència i Unió	Opposition	Centre to centre-right	JosepAntoniDurániLleida	Durán i Lleida, Josep Antoni	M	1952	
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u9	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u10	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Regular	MP	notMinister	IZQ-PLU	Izquierda Plural	Opposition	Left	AlbertoGarzónEspinosa	Garzón Espinosa, Alberto	M	1985	
ParlaMint-ES-en_2015-07-15-CD150715	ParlaMint-ES_2015-07-15-CD150715.u11	Plenary session 279 (2015-07-15)	2015-07-15	Lower house	Legislatura X	Sesión plenaria núm. 279 extraordinaria extraordinaria	-	2015-07-15	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
