Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u1	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u2	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	KostadinovAtanas	Kostadinov, Atanas Petrov	M	1968	
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u3	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u4	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Regular	MP	notMinister	RUTO	Parliamentary Group: Rise up! Thugs out!	-	Centre-left	BabikyanArman	Babikyan, Arman Agop	M	1967	
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u5	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u6	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	KostadinovAtanas	Kostadinov, Atanas Petrov	M	1968	
ParlaMint-BG-en_2021-04-28	ParlaMint-BG_2021-04-28.u7	Report of the meeting of the Bulgarian National Assembly, Term 45, Session 1, Meeting 6 (2021-04-28)	2021-04-28	Unicameralism	45 народно събрание	1 парламентарна сесия	6 пленарно заседание	2021-04-28	-	COVID	English	Chairperson	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	VigeninKristian	Vigenin, Kristian Ivanov	M	1975	
