Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	NevinÖzütok	Özütok, Nevin	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	NevinÖzütok	Özütok, Nevin	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HarryvanderMolen	van der Molen, Harry	M	1980	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	NevinÖzütok	Özütok, Nevin	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u15	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u16	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	NevinÖzütok	Özütok, Nevin	F	1960	
ParlaMint-NL-en_2018-11-21-tweedekamer-7	ParlaMint-NL_2018-11-21-tweedekamer-7.u17	Report of the meeting of the Dutch Lower House, Meeting 26, Session 7 (2018-11-21)	2018-11-21	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 26	Sitting 2018-11-21	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
