Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u1	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u2	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u3	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JobavandenBerg	van den Berg, Joba	F	1958	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u4	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u5	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u6	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u7	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u8	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u9	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u10	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-06-07-tweedekamer-15	ParlaMint-NL_2018-06-07-tweedekamer-15.u11	Report of the meeting of the Dutch Lower House, Meeting 91, Session 15 (2018-06-07)	2018-06-07	Lower house	Meeting of the 29th Tweede Kamer	Session 15	Meeting 91	Sitting 2018-06-07	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
