Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnkBijleveld-Schouten	Bijleveld, Ank	F	1962	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnkBijleveld-Schouten	Bijleveld, Ank	F	1962	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnkBijleveld-Schouten	Bijleveld, Ank	F	1962	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	IsabelleDiks	Diks, Isabelle	F	1965	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnkBijleveld-Schouten	Bijleveld, Ank	F	1962	
ParlaMint-NL-en_2018-09-04-tweedekamer-2	ParlaMint-NL_2018-09-04-tweedekamer-2.u17	Report of the meeting of the Dutch Lower House, Meeting 104, Session 2 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
