Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	FaridAzarkan	Azarkan, Farid	M	1971	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	FaridAzarkan	Azarkan, Farid	M	1971	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	FaridAzarkan	Azarkan, Farid	M	1971	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MaartenGroothuizen	Groothuizen, Maarten	M	1976	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	AttjeKuiken	Kuiken, Attje	F	1977	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FemkeMerelvanKooten-Arissen	van Kooten-Arissen, Femke Merel	F	1983	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MalikAzmani	Azmani, Malik	M	1976	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2018-09-05-tweedekamer-5	ParlaMint-NL_2018-09-05-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 105, Session 5 (2018-09-05)	2018-09-05	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 105	Sitting 2018-09-05	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
