ParlaMint-NL_2018-10-30-tweedekamer-6.u1	Before we vote, I shall first give the floor to Mrs Ellemeet on behalf of GroenLinks.
ParlaMint-NL_2018-10-30-tweedekamer-6.u2	Thank you, Mr. Chairman. I would like to request a roll-call vote on the motion on item No. 26 to agenda item 5, votes on motions submitted for adoption of the budget statements of the Ministry of Health, Welfare and Sport (XVI) for 2019.
ParlaMint-NL_2018-10-30-tweedekamer-6.u3	Okay, then that's what we're gonna do. Mrs. Dik-Faber, you're already here. Then you can say what you want to say.
ParlaMint-NL_2018-10-30-tweedekamer-6.u4	Mr President, on item 5, I would like the amended motion on item No. Fifty-seven, please.
ParlaMint-NL_2018-10-30-tweedekamer-6.u5	The motion in part No. 57 under item 5 of the agenda. Mr Van Raak, from the SP.
ParlaMint-NL_2018-10-30-tweedekamer-6.u6	On item 4 of the voting list, the votes on motions submitted to the adoption of the budget statements of the Ministry of the Interior and Kingdom Relations (VII) for the year 2019, I would like the motion in part No. Thirty-three, please.
ParlaMint-NL_2018-10-30-tweedekamer-6.u7	At the request of Mr Van Raak, I propose his motion (35000-VII, No. 33). That is what is decided.
ParlaMint-NL_2018-10-30-tweedekamer-6.u8	Mrs. Ouwehand.
ParlaMint-NL_2018-10-30-tweedekamer-6.u9	Thank you, Mr President. In the vote on agenda item 4, I would like to make the motions on Nos. 29 and 30, please. I don't really feel like it, but otherwise they won't make it.
ParlaMint-NL_2018-10-30-tweedekamer-6.u10	At the request of Mr Wassenberg, I propose his motions (35000-VII, Nos. 29 and 30). That is what is decided.
