Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JobavandenBerg	van den Berg, Joba	F	1958	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BrunoBruins	Bruins, Bruno	M	1963	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JobavandenBerg	van den Berg, Joba	F	1958	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BrunoBruins	Bruins, Bruno	M	1963	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	LéonieSazias	Sazias, Léonie	F	1957	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	LéonieSazias	Sazias, Léonie	F	1957	
ParlaMint-NL-en_2018-09-25-tweedekamer-5	ParlaMint-NL_2018-09-25-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 4, Session 5 (2018-09-25)	2018-09-25	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 4	Sitting 2018-09-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BrunoBruins	Bruins, Bruno	M	1963	
