Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u1	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u2	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u3	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u4	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RuardGanzevoort	Ganzevoort, Ruard	M	1965	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u5	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u6	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RuardGanzevoort	Ganzevoort, Ruard	M	1965	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u7	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u8	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u9	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u10	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-06-26-eerstekamer-6	ParlaMint-NL_2018-06-26-eerstekamer-6.u11	Report of the meeting of the Dutch Upper House, Meeting 35, Session 6 (2018-06-26)	2018-06-26	Upper house	Meeting of the 35th Eerste Kamer	Session 6	Meeting 35	Sitting 2018-06-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	ArdaGerkens	Gerkens, Arda	F	1965	
