Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankFutselaar	Futselaar, Frank	M	1979	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankFutselaar	Futselaar, Frank	M	1979	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankFutselaar	Futselaar, Frank	M	1979	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HarryvanderMolen	van der Molen, Harry	M	1980	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2018-09-04-tweedekamer-4	ParlaMint-NL_2018-09-04-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 104, Session 4 (2018-09-04)	2018-09-04	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 104	Sitting 2018-09-04	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JudithTielen	Tielen, Judith	F	1972	
