Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-10-30-eerstekamer-4	ParlaMint-NL_2018-10-30-eerstekamer-4.u1	Report of the meeting of the Dutch Upper House, Meeting 5, Session 4 (2018-10-30)	2018-10-30	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 5	Sitting 2018-10-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-10-30-eerstekamer-4	ParlaMint-NL_2018-10-30-eerstekamer-4.u2	Report of the meeting of the Dutch Upper House, Meeting 5, Session 4 (2018-10-30)	2018-10-30	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 5	Sitting 2018-10-30	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2018-10-30-eerstekamer-4	ParlaMint-NL_2018-10-30-eerstekamer-4.u3	Report of the meeting of the Dutch Upper House, Meeting 5, Session 4 (2018-10-30)	2018-10-30	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 5	Sitting 2018-10-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-10-30-eerstekamer-4	ParlaMint-NL_2018-10-30-eerstekamer-4.u4	Report of the meeting of the Dutch Upper House, Meeting 5, Session 4 (2018-10-30)	2018-10-30	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 5	Sitting 2018-10-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
