Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-01-24-15	ParlaMint-IS_2017-01-24-15.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-15, 24.01.2017.	2017-01-24	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
