Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	Coalition	Centre-right	PawelBartoszek	Bartoszek, Pawel	M	1980	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BjornGunnarsson	Gunnarsson, Björn Leví	M	1976	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2017-02-27-35	ParlaMint-IS_2017-02-27-35.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-35, 27.02.2017.	2017-02-27	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
