Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-10-22-024-XXIV-NRSITZ-00042	ParlaMint-AT_2009-10-22-024-XXIV-NRSITZ-00042_d7e420	Sitting Number 42, Legislative period XXIV, Thursday, 22. October 2009	2009-10-22	Lower house	Legislative period XXIV	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-10-22-024-XXIV-NRSITZ-00042	ParlaMint-AT_2009-10-22-024-XXIV-NRSITZ-00042_d7e451	Sitting Number 42, Legislative period XXIV, Thursday, 22. October 2009	2009-10-22	Lower house	Legislative period XXIV	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-10-22-024-XXIV-NRSITZ-00042	ParlaMint-AT_2009-10-22-024-XXIV-NRSITZ-00042_d7e628	Sitting Number 42, Legislative period XXIV, Thursday, 22. October 2009	2009-10-22	Lower house	Legislative period XXIV	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
